name	variant	category
Alegreya Sans 300	300	sans-serif
Alegreya Sans 300italic	300italic	sans-serif
Alegreya Sans regular	regular	sans-serif
Alegreya Sans italic	italic	sans-serif
Alegreya Sans 500	500	sans-serif
Alegreya Sans 500italic	500italic	sans-serif
Alegreya Sans 700	700	sans-serif
Alegreya Sans 700italic	700italic	sans-serif
Alegreya Sans 800	800	sans-serif
Alegreya Sans 800italic	800italic	sans-serif
Alegreya Sans 900	900	sans-serif
Alegreya Sans 900italic	900italic	sans-serif
Patua One regular	regular	display
Source Serif Pro regular	regular	serif
Source Serif Pro 600	600	serif
Source Serif Pro 700	700	serif
Architects Daughter regular	regular	handwriting
Istok Web regular	regular	sans-serif
Istok Web italic	italic	sans-serif
Istok Web 700	700	sans-serif
Istok Web 700italic	700italic	sans-serif
Cinzel regular	regular	serif
Cinzel 700	700	serif
Cinzel 900	900	serif
BenchNine 300	300	sans-serif
BenchNine regular	regular	sans-serif
BenchNine 700	700	sans-serif
Comfortaa 300	300	display
Comfortaa regular	regular	display
Comfortaa 700	700	display
Satisfy regular	regular	handwriting
Josefin Slab 100	100	serif
Josefin Slab 100italic	100italic	serif
Josefin Slab 300	300	serif
Josefin Slab 300italic	300italic	serif
Josefin Slab regular	regular	serif
Josefin Slab italic	italic	serif
Josefin Slab 600	600	serif
Josefin Slab 600italic	600italic	serif
Josefin Slab 700	700	serif
Josefin Slab 700italic	700italic	serif
News Cycle regular	regular	sans-serif
News Cycle 700	700	sans-serif
Lobster Two regular	regular	display
Lobster Two italic	italic	display
Lobster Two 700	700	display
Lobster Two 700italic	700italic	display
Russo One regular	regular	sans-serif
Passion One regular	regular	display
Passion One 700	700	display
Passion One 900	900	display
Cormorant Garamond 300	300	serif
Cormorant Garamond 300italic	300italic	serif
Cormorant Garamond regular	regular	serif
Cormorant Garamond italic	italic	serif
Cormorant Garamond 500	500	serif
Cormorant Garamond 500italic	500italic	serif
Cormorant Garamond 600	600	serif
Cormorant Garamond 600italic	600italic	serif
Cormorant Garamond 700	700	serif
Cormorant Garamond 700italic	700italic	serif
Noticia Text regular	regular	serif
Noticia Text italic	italic	serif
Noticia Text 700	700	serif
Noticia Text 700italic	700italic	serif
Old Standard TT regular	regular	serif
Old Standard TT italic	italic	serif
Old Standard TT 700	700	serif
Hammersmith One regular	regular	sans-serif
Quattrocento Sans regular	regular	sans-serif
Quattrocento Sans italic	italic	sans-serif
Quattrocento Sans 700	700	sans-serif
Quattrocento Sans 700italic	700italic	sans-serif
ABeeZee regular	regular	sans-serif
ABeeZee italic	italic	sans-serif
Kanit 100	100	sans-serif
Kanit 100italic	100italic	sans-serif
Kanit 200	200	sans-serif
Kanit 200italic	200italic	sans-serif
Kanit 300	300	sans-serif
Kanit 300italic	300italic	sans-serif
Kanit regular	regular	sans-serif
Kanit italic	italic	sans-serif
Kanit 500	500	sans-serif
Kanit 500italic	500italic	sans-serif
Kanit 600	600	sans-serif
Kanit 600italic	600italic	sans-serif
Kanit 700	700	sans-serif
Kanit 700italic	700italic	sans-serif
Kanit 800	800	sans-serif
Kanit 800italic	800italic	sans-serif
Kanit 900	900	sans-serif
Kanit 900italic	900italic	sans-serif
Kaushan Script regular	regular	handwriting
Righteous regular	regular	display
Poiret One regular	regular	display
Gudea regular	regular	sans-serif
Gudea italic	italic	sans-serif
Gudea 700	700	sans-serif
Sanchez regular	regular	serif
Sanchez italic	italic	serif
Monda regular	regular	sans-serif
Monda 700	700	sans-serif
Quattrocento regular	regular	serif
Quattrocento 700	700	serif
Rajdhani 300	300	sans-serif
Rajdhani regular	regular	sans-serif
Rajdhani 500	500	sans-serif
Rajdhani 600	600	sans-serif
Rajdhani 700	700	sans-serif
Courgette regular	regular	handwriting
Khand 300	300	sans-serif
Khand regular	regular	sans-serif
Khand 500	500	sans-serif
Khand 600	600	sans-serif
Khand 700	700	sans-serif
Shrikhand regular	regular	display
Cantarell regular	regular	sans-serif
Cantarell italic	italic	sans-serif
Cantarell 700	700	sans-serif
Cantarell 700italic	700italic	sans-serif
Domine regular	regular	serif
Domine 700	700	serif
Economica regular	regular	sans-serif
Economica italic	italic	sans-serif
Economica 700	700	sans-serif
Economica 700italic	700italic	sans-serif
Yellowtail regular	regular	handwriting
Philosopher regular	regular	sans-serif
Philosopher italic	italic	sans-serif
Philosopher 700	700	sans-serif
Philosopher 700italic	700italic	sans-serif
Pontano Sans regular	regular	sans-serif
Yantramanav 100	100	sans-serif
Yantramanav 300	300	sans-serif
Yantramanav regular	regular	sans-serif
Yantramanav 500	500	sans-serif
Yantramanav 700	700	sans-serif
Yantramanav 900	900	sans-serif
Permanent Marker regular	regular	handwriting
Chewy regular	regular	display
Tinos regular	regular	serif
Tinos italic	italic	serif
Tinos 700	700	serif
Tinos 700italic	700italic	serif
Arapey regular	regular	serif
Arapey italic	italic	serif
Cabin Condensed regular	regular	sans-serif
Cabin Condensed 500	500	sans-serif
Cabin Condensed 600	600	sans-serif
Cabin Condensed 700	700	sans-serif
Cardo regular	regular	serif
Cardo italic	italic	serif
Cardo 700	700	serif
Cookie regular	regular	handwriting
Playfair Display SC regular	regular	serif
Playfair Display SC italic	italic	serif
Playfair Display SC 700	700	serif
Playfair Display SC 700italic	700italic	serif
Playfair Display SC 900	900	serif
Playfair Display SC 900italic	900italic	serif
Handlee regular	regular	handwriting
Alfa Slab One regular	regular	display
Armata regular	regular	sans-serif
Audiowide regular	regular	display
Kalam 300	300	handwriting
Kalam regular	regular	handwriting
Kalam 700	700	handwriting
Antic Slab regular	regular	serif
Teko 300	300	sans-serif
Teko regular	regular	sans-serif
Teko 500	500	sans-serif
Teko 600	600	sans-serif
Teko 700	700	sans-serif
Boogaloo regular	regular	display
Ruda regular	regular	sans-serif
Ruda 700	700	sans-serif
Ruda 900	900	sans-serif
Vidaloka regular	regular	serif
Shadows Into Light Two regular	regular	handwriting
Droid Sans Mono regular	regular	monospace
Oleo Script regular	regular	display
Oleo Script 700	700	display
Days One regular	regular	sans-serif
Great Vibes regular	regular	handwriting
Heebo 100	100	sans-serif
Heebo 300	300	sans-serif
Heebo regular	regular	sans-serif
Heebo 500	500	sans-serif
Heebo 700	700	sans-serif
Heebo 800	800	sans-serif
Heebo 900	900	sans-serif
Concert One regular	regular	display
Kreon 300	300	serif
Kreon regular	regular	serif
Kreon 700	700	serif
Ek Mukta 200	200	sans-serif
Ek Mukta 300	300	sans-serif
Ek Mukta regular	regular	sans-serif
Ek Mukta 500	500	sans-serif
Ek Mukta 600	600	sans-serif
Ek Mukta 700	700	sans-serif
Ek Mukta 800	800	sans-serif
Tangerine regular	regular	handwriting
Tangerine 700	700	handwriting
Patrick Hand regular	regular	handwriting
Hind Siliguri 300	300	sans-serif
Hind Siliguri regular	regular	sans-serif
Hind Siliguri 500	500	sans-serif
Hind Siliguri 600	600	sans-serif
Hind Siliguri 700	700	sans-serif
Didact Gothic regular	regular	sans-serif
Neuton 200	200	serif
Neuton 300	300	serif
Neuton regular	regular	serif
Neuton italic	italic	serif
Neuton 700	700	serif
Neuton 800	800	serif
Covered By Your Grace regular	regular	handwriting
Amiri regular	regular	serif
Amiri italic	italic	serif
Amiri 700	700	serif
Amiri 700italic	700italic	serif
Rock Salt regular	regular	handwriting
Bad Script regular	regular	handwriting
Coming Soon regular	regular	handwriting
Playball regular	regular	display
Rochester regular	regular	handwriting
Volkhov regular	regular	serif
Volkhov italic	italic	serif
Volkhov 700	700	serif
Volkhov 700italic	700italic	serif
Damion regular	regular	handwriting
Glegoo regular	regular	serif
Glegoo 700	700	serif
Sacramento regular	regular	handwriting
Coda regular	regular	display
Coda 800	800	display
Fredoka One regular	regular	display
Sorts Mill Goudy regular	regular	serif
Sorts Mill Goudy italic	italic	serif
Luckiest Guy regular	regular	display
Marck Script regular	regular	handwriting
Sintony regular	regular	sans-serif
Sintony 700	700	sans-serif
Jura 300	300	sans-serif
Jura regular	regular	sans-serif
Jura 500	500	sans-serif
Jura 600	600	sans-serif
Bevan regular	regular	display
Paytone One regular	regular	sans-serif
Nunito Sans 200	200	sans-serif
Nunito Sans 200italic	200italic	sans-serif
Nunito Sans 300	300	sans-serif
Nunito Sans 300italic	300italic	sans-serif
Nunito Sans regular	regular	sans-serif
Nunito Sans italic	italic	sans-serif
Nunito Sans 600	600	sans-serif
Nunito Sans 600italic	600italic	sans-serif
Nunito Sans 700	700	sans-serif
Nunito Sans 700italic	700italic	sans-serif
Nunito Sans 800	800	sans-serif
Nunito Sans 800italic	800italic	sans-serif
Nunito Sans 900	900	sans-serif
Nunito Sans 900italic	900italic	sans-serif
Copse regular	regular	serif
Sigmar One regular	regular	display
Martel 200	200	serif
Martel 300	300	serif
Martel regular	regular	serif
Martel 600	600	serif
Martel 700	700	serif
Martel 800	800	serif
Martel 900	900	serif
Actor regular	regular	sans-serif
Gentium Book Basic regular	regular	serif
Gentium Book Basic italic	italic	serif
Gentium Book Basic 700	700	serif
Gentium Book Basic 700italic	700italic	serif
Amaranth regular	regular	sans-serif
Amaranth italic	italic	sans-serif
Amaranth 700	700	sans-serif
Amaranth 700italic	700italic	sans-serif
Frank Ruhl Libre 300	300	sans-serif
Frank Ruhl Libre regular	regular	sans-serif
Frank Ruhl Libre 500	500	sans-serif
Frank Ruhl Libre 700	700	sans-serif
Frank Ruhl Libre 900	900	sans-serif
Sarala regular	regular	sans-serif
Sarala 700	700	sans-serif
Nothing You Could Do regular	regular	handwriting
Alice regular	regular	serif
PT Mono regular	regular	monospace
Adamina regular	regular	serif
Gentium Basic regular	regular	serif
Gentium Basic italic	italic	serif
Gentium Basic 700	700	serif
Gentium Basic 700italic	700italic	serif
Changa One regular	regular	display
Changa One italic	italic	display
Varela regular	regular	sans-serif
Nobile regular	regular	sans-serif
Nobile italic	italic	sans-serif
Nobile 700	700	sans-serif
Nobile 700italic	700italic	sans-serif
Neucha regular	regular	handwriting
Homemade Apple regular	regular	handwriting
Syncopate regular	regular	sans-serif
Syncopate 700	700	sans-serif
Bangers regular	regular	display
Rambla regular	regular	sans-serif
Rambla italic	italic	sans-serif
Rambla 700	700	sans-serif
Rambla 700italic	700italic	sans-serif
Signika Negative 300	300	sans-serif
Signika Negative regular	regular	sans-serif
Signika Negative 600	600	sans-serif
Signika Negative 700	700	sans-serif
Julius Sans One regular	regular	sans-serif
Cairo 200	200	sans-serif
Cairo 300	300	sans-serif
Cairo regular	regular	sans-serif
Cairo 600	600	sans-serif
Cairo 700	700	sans-serif
Cairo 900	900	sans-serif
Cantata One regular	regular	serif
Molengo regular	regular	sans-serif
Unica One regular	regular	display
Baloo Bhaina regular	regular	display
Black Ops One regular	regular	display
Alex Brush regular	regular	handwriting
Pragati Narrow regular	regular	sans-serif
Pragati Narrow 700	700	sans-serif
Alegreya Sans SC 100	100	sans-serif
Alegreya Sans SC 100italic	100italic	sans-serif
Alegreya Sans SC 300	300	sans-serif
Alegreya Sans SC 300italic	300italic	sans-serif
Alegreya Sans SC regular	regular	sans-serif
Alegreya Sans SC italic	italic	sans-serif
Alegreya Sans SC 500	500	sans-serif
Alegreya Sans SC 500italic	500italic	sans-serif
Alegreya Sans SC 700	700	sans-serif
Alegreya Sans SC 700italic	700italic	sans-serif
Alegreya Sans SC 800	800	sans-serif
Alegreya Sans SC 800italic	800italic	sans-serif
Alegreya Sans SC 900	900	sans-serif
Alegreya Sans SC 900italic	900italic	sans-serif
Special Elite regular	regular	display
Caveat regular	regular	handwriting
Caveat 700	700	handwriting
Share regular	regular	display
Share italic	italic	display
Share 700	700	display
Share 700italic	700italic	display
Arima Madurai 100	100	display
Arima Madurai 200	200	display
Arima Madurai 300	300	display
Arima Madurai regular	regular	display
Arima Madurai 500	500	display
Arima Madurai 700	700	display
Arima Madurai 800	800	display
Arima Madurai 900	900	display
Squada One regular	regular	display
Fauna One regular	regular	serif
Kameron regular	regular	serif
Kameron 700	700	serif
Enriqueta regular	regular	serif
Enriqueta 700	700	serif
Antic regular	regular	sans-serif
Scada regular	regular	sans-serif
Scada italic	italic	sans-serif
Scada 700	700	sans-serif
Scada 700italic	700italic	sans-serif
Cousine regular	regular	monospace
Cousine italic	italic	monospace
